#BAM: /home/student5/project/mapping/mapping_2020_02_24/time_6h/mapped_ERR405230.sorted.bam Mapped Reads/million: 30.700644
#BAM: /home/student5/project/mapping/mapping_2020_02_24/time_6h/mapped_ERR405231.sorted.bam Mapped Reads/million: 30.864573
#BAM: /home/student5/project/mapping/mapping_2020_02_24/time_6h/mapped_ERR405232.sorted.bam Mapped Reads/million: 19.470339

    	mapped_ERR405230.sorted.bam	mapped_ERR405231.sorted.bam	mapped_ERR405232.sorted.bam	
    	      Sense   Antisense       Total	      Sense   Antisense       Total	      Sense   Antisense       Total	
cds2155	      7.415       7.945      15.359	      8.166      12.644      20.810	      6.263      10.230      16.494	
mrcB	     13.543      14.498      28.041	     16.412      17.465      33.876	     11.868      12.580      24.449	
cds274	     11.390      10.432      21.822	     13.129      11.435      24.564	     11.469      10.462      21.932	
mrcA	      7.217       6.522      13.739	      8.298       7.342      15.640	      7.275       6.457      13.732	
cds273	      4.272       3.728       8.000	      5.089       4.953      10.042	      4.419       3.862       8.281	
cds1069	     10.858      10.436      21.293	     14.387      14.120      28.507	      9.195       9.316      18.511	
cds272	      2.464       2.714       5.179	      2.949       3.837       6.785	      2.196       2.309       4.505	
cds1068	      0.877       1.371       2.248	      1.418       1.745       3.164	      1.643       1.816       3.459	
cds2152	      0.962       5.360       6.322	      1.094       5.742       6.835	      1.734       6.501       8.235	
rpoZ	    123.681     124.508     248.189	    150.963     144.624     295.588	    102.162     103.093     205.255	
cds271	      8.736       5.990      14.726	      7.572       5.214      12.786	      8.855       6.887      15.743	
cds1066	      2.051       2.151       4.203	      3.036       2.986       6.022	      1.657       1.578       3.235	
cds2150	      7.164       9.454      16.619	      9.477      11.681      21.159	      7.803       8.152      15.955	
cds1065	     10.260      11.256      21.516	     12.088      12.484      24.572	      5.811       6.283      12.094	
cds1064	      3.073       2.470       5.544	      3.086       2.543       5.629	      2.853       2.219       5.073	
cds1063	      3.362       3.142       6.503	      2.906       1.645       4.550	      3.129       1.651       4.780	
cds1062	      2.980       2.490       5.470	      2.801       3.045       5.847	      3.282       3.218       6.500	
trmH	      6.278       6.278      12.557	      8.828       7.748      16.575	      7.518       7.071      14.589	
cds1061	      1.322       1.162       2.484	      1.514       1.355       2.869	      1.643       1.516       3.159	
rpoS	    482.498     504.072     986.569	    593.039     640.362    1233.401	    374.462     397.052     771.514	
cds1060	      2.664       2.964       5.629	      3.346       3.677       7.023	      2.888       3.151       6.039	
trmD	     62.261      52.973     115.234	     82.054      71.887     153.940	     52.096      47.682      99.778	
rpoN	     35.843      18.353      54.197	     53.886      27.610      81.496	     24.212      12.930      37.141	
trmA	     23.431      13.727      37.158	     27.927      16.332      44.259	     26.170      16.327      42.497	
pheT	     28.985      13.736      42.721	     37.216      18.126      55.343	     25.422      11.076      36.498	
pheS	      7.481       6.951      14.433	      7.310       7.376      14.685	      7.203       6.994      14.197	
pheP	      4.039       3.386       7.425	      3.948       3.135       7.084	      4.087       3.056       7.143	
rpoH	   1188.805    1310.295    2499.100	   1440.854    1610.810    3051.664	   1257.033    1362.396    2619.429	
cds4321	    168.176     273.749     441.925	    226.108     365.127     591.235	    132.225     242.959     375.184	
pheM	      2.895       5.067       7.962	      3.600      19.440      23.040	      2.283       9.131      11.413	
rpoE	    742.836     427.798    1170.635	    819.440     472.663    1292.103	    789.930     441.912    1231.842	
rpoD	     79.912      84.101     164.013	     99.748     104.666     204.413	     80.239      84.331     164.570	
rpoC	     24.129      24.923      49.052	     33.151      34.187      67.338	     18.360      19.126      37.487	
cds2149	     18.691      17.134      35.825	     19.139      17.043      36.182	     17.192      16.181      33.373	
rpoB	     32.856      33.268      66.123	     45.556      46.328      91.883	     26.936      27.242      54.177	
rpoA	    203.628     226.725     430.353	    262.535     289.993     552.528	    203.210     225.103     428.313	
bacA	      9.867       7.608      17.475	     10.051       8.120      18.171	      9.122       7.248      16.370	
cds1059	      4.204       4.084       8.288	      5.113       4.875       9.987	      4.869       4.555       9.424	
cds2143	     56.918      51.042     107.960	     66.636      59.845     126.481	     54.802      49.330     104.132	
cds1058	    110.643     169.791     280.435	    126.513     203.552     330.065	    128.482     199.408     327.890	
cds1057	     28.033      36.621      64.654	     32.949      43.566      76.514	     29.597      40.237      69.834	
cds2141	    126.366      49.709     176.075	    166.032      58.293     224.325	    109.527      45.172     154.699	
pheA	     11.980      11.306      23.286	     12.865      12.111      24.976	     10.573      10.352      20.925	
cds1056	      9.360       8.549      17.909	     10.924       9.931      20.855	      8.757       7.625      16.382	
cds2140	     16.272      12.022      28.294	     19.544      13.637      33.181	     17.487      12.622      30.109	
tesB	     14.225      14.754      28.979	     17.423      18.213      35.636	     13.422      13.660      27.082	
cds1055	    350.916       6.515     357.430	    371.731       7.128     378.859	    312.612       3.424     316.036	
tesA	     22.457      21.556      44.013	     28.238      26.499      54.737	     14.364      13.947      28.311	
cds1054	   1956.846    1856.639    3813.485	   2059.267    1960.830    4020.097	   1882.770    1797.933    3680.704	
cds1053	     55.573     135.862     191.436	     74.178     184.166     258.344	     69.607     133.807     203.413	
mraY	      6.797       7.158      13.955	      9.065       9.783      18.847	      4.600       4.553       9.153	
cds1052	    130.290      33.865     164.156	    132.170      54.256     186.426	    139.406      30.164     169.570	
cds1051	     40.535      30.039      70.574	     68.399      47.519     115.919	     38.805      26.821      65.627	
cds1050	     28.953      79.260     108.213	     50.039     125.998     176.038	     26.821      62.203      89.024	
cds4319	      4.080       3.553       7.633	      5.760       5.564      11.323	      4.047       3.943       7.989	
icc	     29.622      50.511      80.133	     36.782      61.512      98.294	     25.060      40.939      65.999	
cds4318	     15.123      12.699      27.822	     17.598      15.139      32.737	     16.050      14.445      30.495	
