#BAM: /home/student5/project/mapping/mapping_2020_02_24/time_0h/ERR405224.sorted.bam
#BAM: /home/student5/project/mapping/mapping_2020_02_24/time_0h/ERR405225.sorted.bam
#BAM: /home/student5/project/mapping/mapping_2020_02_24/time_0h/ERR405226.sorted.bam

    	ERR405224.sorted.bam	ERR405225.sorted.bam	ERR405226.sorted.bam	
    	  Sense Antisense  Total	  Sense Antisense  Total	  Sense Antisense  Total	
cds1056	    598     537    1135	    550     500    1050	    263     239     502	
cds2140	    874     453    1327	    789     384    1173	    417     203     620	
tesB	    772     769    1541	    686     670    1356	    396     384     780	
cds1055	   2781      35    2816	   2189      37    2226	   1547      16    1563	
tesA	   1599    1284    2883	   1553    1244    2797	    676     576    1252	
cds1054	  59149   56806  115955	  49148   46993   96141	  33301   31938   65239	
cds1053	    482    1583    2065	    384    1660    2044	    204     706     910	
mraY	    315     316     631	    347     337     684	    154     155     309	
cds1052	    538     213     751	    471     181     652	    259      89     348	
cds1051	    182     256     438	    148     283     431	     73      90     163	
cds1050	    237     465     702	    247     576     823	     87     198     285	
cds4319	    174     156     330	    126     121     247	     62      65     127	
icc	   1619    2830    4449	   1523    2669    4192	    899    1673    2572	
cds4318	    521     463     984	    382     350     732	    241     216     457	
cds3229	    138     111     249	    119      77     196	     51      46      97	
infC	  16261   10885   27146	  16406   10946   27352	   7728    5173   12901	
infB	   1646    1719    3365	   1578    1633    3211	    724     764    1488	
cds3224	    810     786    1596	    690     667    1357	    419     405     824	
infA	    526    1084    1610	    477    1060    1537	    204     386     590	
cds3221	     90      41     131	     65      31      96	     37      15      52	
cds3220	     61      56     117	     61      52     113	     31      24      55	
cds1049	    787    1047    1834	    916    1231    2147	    343     448     791	
cds1048	    113     523     636	    112     483     595	     45     258     303	
cds251	    417     593    1010	    411     573     984	    199     307     506	
cds1047	     52      97     149	     37      83     120	     15      48      63	
cds250	   1320    1256    2576	   1119    1035    2154	    678     649    1327	
cds1045	     61       8      69	     94       8     102	     26       3      29	
cds1044	      9      12      21	     11      13      24	      2       5       7	
trkH	    243     317     560	    221     256     477	    102     128     230	
vacJ	   1500    1607    3107	   1509    1603    3112	    730     787    1517	
glgX	    542     562    1104	    456     482     938	    277     299     576	
trkA	    211     211     422	    233     246     479	    106     109     215	
cds4306	   1836    1806    3642	   1757    1722    3479	    826     815    1641	
glgS	    388     355     743	    317     291     608	    203     185     388	
rpmJ	   2257    2443    4700	   2434    2373    4807	    993    1115    2108	
cds3219	     18      18      36	     22      15      37	      9       7      16	
rpmI	   7842   10611   18453	   7897   10594   18491	   3847    4945    8792	
rpmH	    492     480     972	    441     427     868	    197     224     421	
cds3218	     59      57     116	     62      51     113	     40      36      76	
glgP	   2000    2088    4088	   2098    2147    4245	    940     960    1900	
rpmG	     50    1787    1837	     41    1717    1758	     28     874     902	
cds3217	      3       4       7	      0       1       1	      0       0       0	
cds3216	      5       3       8	      1       3       4	      0       0       0	
cueR	   3258    1770    5028	   2869    1499    4368	   1731     906    2637	
ompX	  38156   49236   87392	  32360   40561   72921	  22497   28466   50963	
rpmF	   1561    1423    2984	   1740    1483    3223	    815     594    1409	
cds3215	      8       6      14	     10      11      21	      3       5       8	
rpmE	    660    2469    3129	    690    2356    3046	    387    1391    1778	
rpmD	    927    1364    2291	    897    1293    2190	    374     596     970	
cds3214	     17      18      35	     18      19      37	      6       7      13	
rpmC	   2048    1743    3791	   1822    1575    3397	    984     730    1714	
rpmB	   2331    3491    5822	   2329    3446    5775	   1146    1538    2684	
cds3212	     54      54     108	     53      46      99	     27      25      52	
cds3211	     70      59     129	     72      66     138	     29      29      58	
rpmA	    299    1242    1541	    302    1193    1495	    146     547     693	
ldhA	    368     412     780	    322     359     681	    177     195     372	
ompS	    209     190     399	    157     153     310	     86      83     169	
ompR	    674     960    1634	    618     880    1498	    318     445     763	
cds3210	     71      66     137	     81      62     143	     31      25      56	
cds246	     35      30      65	     38      20      58	     24      14      38	
iap	    272     249     521	    285     274     559	    136     124     260	
cds2123	    303     266     569	    277     226     503	    182     150     332	
cds1038	     94     148     242	     81     144     225	     26      48      74	
cds1037	    229     282     511	    265     346     611	     83     116     199	
cds2121	    202     175     377	    190     144     334	     97      88     185	
glgC	    446     383     829	    464     389     853	    208     192     400	
rplY	    790     782    1572	    702     677    1379	    353     352     705	
cds1036	    298     277     575	    384     361     745	    113     115     228	
cds2120	    121     107     228	    145     118     263	     57      49     106	
rplX	   3812    4084    7896	   3880    4141    8021	   1766    1887    3653	
glgB	    801     975    1776	    836    1008    1844	    396     473     869	
cds1035	    268     192     460	    277     176     453	     94      59     153	
rplW	   1634    1537    3171	   1636    1555    3191	    671     662    1333	
glgA	    622     547    1169	    636     565    1201	    295     269     564	
cds1034	     50      56     106	     55      58     113	     19      21      40	
rplV	   1642    1863    3505	   1664    1820    3484	    787     817    1604	
rplU	   1752    1124    2876	   1742    1125    2867	    775     500    1275	
ompH	   1447    1467    2914	   1523    1448    2971	    634     632    1266	
rplT	   3674    9415   13089	   3693    9553   13246	   1945    4754    6699	
cds1031	    603     509    1112	    581     488    1069	    238     212     450	
rplS	    882    1687    2569	    881    1772    2653	    418     799    1217	
ompF	  31680   32460   64140	  34151   34542   68693	  13341   13552   26893	
cds1030	    204      31     235	    176      21     197	     77       9      86	
rplR	   1858    2283    4141	   1798    2243    4041	    842    1040    1882	
rplQ	   1284    2554    3838	   1201    2324    3525	    548    1082    1630	
rplP	   2827    2222    5049	   2573    2134    4707	   1205     952    2157	
bglX	    600     622    1222	    611     642    1253	    270     283     553	
ompC	  11080   11195   22275	  10893   10943   21836	   5580    5631   11211	
rcsF	    858     751    1609	    799     713    1512	    371     332     703	
rplO	   2618    2461    5079	   2333    2191    4524	   1113    1038    2151	
rplN	   5189    3461    8650	   5266    3616    8882	   2513    1715    4228	
ompA	   9541   11695   21236	   8718   10389   19107	   4561    5529   10090	
rplM	   2575    2390    4965	   2599    2562    5161	   1215    1179    2394	
rcsC	   2090    1923    4013	   1852    1703    3555	    917     843    1760	
rplL	   5289    7456   12745	   5291    7449   12740	   2711    3795    6506	
rcsB	   1735    2521    4256	   1653    2349    4002	    879    1284    2163	
rplK	   2429    1604    4033	   2593    1648    4241	   1122     726    1848	
rcsA	    524     211     735	    435     189     624	    267      72     339	
rplJ	   8564    8800   17364	   8990    9487   18477	   4206    4450    8656	
rplI	    578     806    1384	    537     806    1343	    285     403     688	
cds3209	     16       9      25	     13      11      24	      5       4       9	
cds3208	     17      13      30	     10       9      19	      7       9      16	
cds3207	      1       1       2	      3       4       7	      3       2       5	
